catalogue_group,resource_type,title,url,last_modified,page_detail,synopsis
Course,Course,A GP framework for child mental health assessment (5-12 years),https://emergingminds.com.au/training/online-training/a-gp-framework-for-child-mental-health-assessment-5-12-years/,2023-03-14T02:46:26+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",Explore our free e-learning course: a framework for GPs to help assess mental health in children aged 5–12 years.
Course,Course,A GP framework for infant and early childhood mental health assessment (0-5 years),https://emergingminds.com.au/training/online-training/mhst-0-5-years/,2024-11-11T01:19:19+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",This course focuses on the identification and support required for children aged 0-5 at risk of or experiencing mental health difficulties.
Course,Course,An introduction to family partnerships for educators,https://emergingminds.com.au/training/online-training/an-introduction-to-family-partnerships-for-educators/,2024-08-29T07:27:50+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.","This free online course introduces the concept of family partnerships for educators as a practice for supporting children’s mental health, development and overall wellbeing."
Course,Course,Building blocks for children’s social and emotional wellbeing,https://emergingminds.com.au/training/online-training/building-blocks-for-childrens-social-and-emotional-wellbeing/,2023-03-14T02:46:00+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",Explore our free e-learning course for practitioners on the building blocks for children's social and emotional wellbeing.
Course,Course,Child-aware practice,https://emergingminds.com.au/training/online-training/child-aware-practice/,2025-04-09T04:42:31+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",This free practitioner online course focuses on taking a child-aware approach to parenting roles and children's needs in interventions.
Course,Course,Child-aware practice: Family and domestic violence,https://emergingminds.com.au/training/online-training/child-aware-practice-family-and-domestic-violence/,2025-04-16T06:40:40+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",This course examines opportunities for practitioners to engage in a prevention and early intervention approach to promote children’s mental health and wellbeing in the context of family and domestic violence (FDV).
Course,Course,Child-centred and communication-focused practice with children with disability,https://emergingminds.com.au/training/online-training/communication-focused-practice-disability-course/,2023-03-14T02:52:01+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",Learn communication-focused practice strategies to support the mental health and wellbeing of children with disability in this free course.
Course,Course,Child-centred and family-focused practice with children with disability,https://emergingminds.com.au/training/online-training/family-centred-practice-disability-course/,2023-03-14T02:51:55+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",Learn family-centred practice strategies to support the wellbeing of children with disability and their families in this free online course.
Course,Course,Child-focused practice with separating parents,https://emergingminds.com.au/training/online-training/child-focused-practice-with-separating-parents/,2024-04-30T03:55:32+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",This course focuses on four practice skills that will help you ensure children’s mental health and wellbeing is a central aspect of the conversations you have with parents who are going through separation or divorce.
Course,Course,Culturally responsive practice strategies for children’s mental health,https://emergingminds.com.au/training/online-training/culturally-responsive-practice-strategies-for-childrens-mental-health/,2024-08-08T02:30:04+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",Explore five key skills for working with families from diverse (or CALD) backgrounds to support children's mental health and wellbeing.
Course,Course,Engaging children: Creative conclusions,https://emergingminds.com.au/training/online-training/engaging-children-creative-conclusions/,2023-03-29T04:28:32+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",This course will assist you to develop skills in creating opportunities for children to contribute to other families facing similar circumstances.
Course,Course,Engaging children: Good beginnings,https://emergingminds.com.au/training/online-training/engaging-children-good-beginninngs/,2023-03-29T04:29:53+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",This course will assist you to develop skills to draw on at the beginning of working with children in relation to their mental health and social and emotional wellbeing.
Course,Course,Engaging children: Ideas that stick,https://emergingminds.com.au/training/online-training/engaging-children-ideas-that-stick/,2023-03-29T04:29:21+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.","This course will assist you to develop skills for exploring and expanding on children’s skills, values and interests to respond to the problem."
Course,Course,Engaging children: Paving the way with parents,https://emergingminds.com.au/training/online-training/engaging-children-paving-the-way-with-parents/,2023-03-29T04:29:37+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",This free course will assist you to develop skills for working with parents who have concerns about their child’s mental health and wellbeing.
Course,Course,Engaging children: Rich pictures,https://emergingminds.com.au/training/online-training/engaging-children-rich-pictures/,2023-03-29T04:30:09+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.","This course will assist practitioners to develop a range of practice skills for beginning to explore children’s strengths, skills, know-how, and values that can provide a foundation for reducing the impact of problems on their mental health and social and..."
Course,Course,Engaging children: Shrinking problems,https://emergingminds.com.au/training/online-training/engaging-children-shrinking-problems/,2023-03-29T04:30:30+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.","This course will assist practitioners to develop a range of practice skills for working with children to understand the child’s perspective on the problems they are contending with, and begin to reduce their impact on the child’s mental health and wellbeing."
Course,Course,Engaging with children,https://emergingminds.com.au/training/online-training/engaging-with-children-a-foundation/,2023-03-29T04:29:05+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",This free e-learning course introduces practitioners to the concept of engaging children with mental health concerns as partners in practice.
Course,Course,Engaging with parents about children’s mental health,https://emergingminds.com.au/training/online-training/engaging-with-parents-about-childrens-mental-health/,2025-04-09T05:43:19+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",This free practitioner e-learning course explores ways to engage with parents about their children’s social and emotional wellbeing.
Course,Course,Family Talk,https://emergingminds.com.au/training/online-training/family-focus/,2023-08-22T06:20:20+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",This free intervention helps practitioners support parents who are experiencing depression and/or anxiety to foster family resilience.
Course,Course,Focused psychological strategies for children (5-12 years),https://emergingminds.com.au/training/online-training/fps-for-children-5-12-years/,2024-06-28T03:29:22+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",This course is designed to develop GPs’ skills in delivering evidence-based psychological interventions for a variety of mental health presentations.
Course,Course,Healing the Past by Nurturing the Future: Working with Aboriginal and Torres Strait Islander families,https://emergingminds.com.au/training/online-training/healing-the-past-by-nurturing-the-future-online-training/,2023-03-14T02:51:41+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",Learn how to support Aboriginal parents experiencing complex trauma with Healing the Past by Nurturing the Future.
Course,Course,"Healing through voice, culture and Country",https://emergingminds.com.au/training/online-training/healing-through-voice-culture-and-country/,2023-03-14T02:49:24+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.","This foundation course focuses on stories from Community addressing family violence, a documentary that tells the living story of FDV."
Course,Course,Honouring Aboriginal & Torres Strait Islander voices in healing family violence,https://emergingminds.com.au/training/online-training/honouring-aboriginal-torres-strait-islander-voices-in-healing-family-violence/,2023-03-14T02:52:34+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",Learn skills to help Aboriginal and Torres Strait Islander families to take the lead in healing from their experiences of family violence.
Course,Course,Improving the social and emotional wellbeing of Aboriginal and Torres Strait Islander children,https://emergingminds.com.au/training/online-training/improving-sewb-aboriginal-torres-strait-islander-children/,2023-04-27T01:26:12+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",This e-learning course uses a positive focus to support your work with Aboriginal and Torres Strait Islander children and families.
Course,Course,Intergenerational mental health,https://emergingminds.com.au/training/online-training/intergenerational-mental-health/,2023-03-14T02:47:44+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",Learn to apply an 'integenerational lens' to positively influence the parent-child relationship and children's mental health in this online course.
Course,Course,Keeping the infant and toddler in mind,https://emergingminds.com.au/training/online-training/keeping-the-infant-and-toddler-in-mind/,2024-11-11T01:19:27+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",Learn about how you can improve your understanding of infants' and toddlers' needs and better support their mental health and wellbeing.
Course,Course,Let’s talk about children (Let’s Talk),https://emergingminds.com.au/training/online-training/lets-talk-children/,2023-08-23T02:55:13+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",This free course trains practitioners to talk with parents who experience mental illness about parenting and their children's needs.
Course,Course,Online training courses,https://emergingminds.com.au/training/online-training/,2025-10-01T07:21:23+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.","We recognise and pay respect to Aboriginal and Torres Strait Islander peoples, their Ancestors, the Elders past, present and future from the different First Nations across this country. We acknowledge the importance of connection to Land, culture..."
Course,Course,Our Woven Ways: Connecting practitioners with the experiences of Aboriginal and Torres Strait Islander children and families,https://emergingminds.com.au/training/online-training/our-woven-ways-online-course/,2024-03-03T22:44:39+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.","In this course you'll be introduced to practice strategies to support you in building the genuine connections and trust required to have culturally safe, connecting conversations with Aboriginal and Torres Strait Islander parents about their worries..."
Course,Course,Parental chronic physical illness and child-aware practice,https://emergingminds.com.au/training/online-training/parental-chronic-physical-illness-and-child-aware-practice/,2023-03-14T02:46:36+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",A free e-learning course exploring the impacts of parental chronic physical illness on family function and children's wellbeing.
Course,Course,Parental mental illness and child-aware practice,https://emergingminds.com.au/training/online-training/parental-mental-illness-and-child-aware-practice/,2023-03-14T02:50:47+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",Learn how to support children's mental health in adult-focused services by sensitively and respectfully asking about parental mental health.
Course,Course,Parental substance use and child-aware practice,https://emergingminds.com.au/training/online-training/parental-substance-use-and-child-aware-practice-principles-and-practices/,2023-03-14T02:42:13+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",This free e-learning course examines preventative opportunities to promote children’s mental health in the context of parental substance use
Course,Course,Practice strategies for assessment and engagement,https://emergingminds.com.au/training/online-training/practice-strategies-for-assessment-and-engagement-working-with-mental-health-issues-in-kids/,2023-03-14T02:51:19+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.","Learn strategies to help kids with mental health issues consider the relationships, routines and activities that support and nourish them."
Course,Course,Practice strategies for assessment: Infants and toddlers,https://emergingminds.com.au/training/online-training/practice-strategies-for-assessment-infants-and-toddlers/,2025-04-16T06:41:56+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.","Learn about practice strategies that promote the mental health of children aged 0-5 years, keeping their needs at the centre of assessment interactions."
Course,Course,Practice strategies for childhood bullying,https://emergingminds.com.au/training/online-training/practice-strategies-for-childhood-bullying/,2023-03-14T02:53:19+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",Build your skills to support the mental health of children aged 4-12 years who have been experiencing or engaging in bullying behaviour.
Course,Course,Practice strategies for formulation,https://emergingminds.com.au/training/online-training/practice-strategies-for-formulation-improving-child-behavioural-health/,2023-03-14T02:51:26+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",Learn how you can improve child behavioural health by incorporating children's participation into your case formulation practices.
Course,Course,Practice strategies for formulation: Infants and toddlers,https://emergingminds.com.au/training/online-training/practice-strategies-for-formulation-infants-and-toddlers/,2024-11-11T01:19:52+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.",Learn how you can extend your standard formulation practices to develop a shared understanding of the infants’ and toddlers’ experience.
Course,Course,Practice strategies for implementation,https://emergingminds.com.au/training/online-training/practice-strategies-for-implementation-of-child-mental-health-interventions/,2023-03-14T02:51:46+00:00,"Advancing infant, child and adolescent mental health for over 20 years. | Working together towards better infant and child mental health.","Learn why children's participation in implementing child mental health interventions is important, and strategies you can use to support it."
